sentence	label
the libretto directs , ideally capturing the opera 's drama and lyricism 	1
bad luck and 	0
the bottom tier of blaxploitation flicks 	0
comedy spectacle 	1
be forgettable if it were n't such a clever adaptation of the bard 's tragic play 	1
a gem of a movie . 	1
a series of perfect black pearls clicking together to form a string 	1
imaginative and 	1
cast in impossibly contrived situations 	0
stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe 	1
the film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own . 	0
proves she has the stuff to stand tall with pryor , carlin and murphy 	1
the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- and it implies in its wake the intractable , irreversible flow of history 	1
a tasty appetizer that leaves you wanting more . 	1
a ragbag 	0
to the storytelling instincts of a slightly more literate filmgoing audience 	1
a visit to mcdonald 's , let alone 	0
sweeping and gliding 	1
claustrophobic 	0
resembles a soft porn brian de palma pastiche . 	0
are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent 	0
nationwide blight 	0
balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams 	1
grin 	1
affable if not timeless 	1
remains prominent , as do the girls ' amusing personalities . 	1
to squander jennifer love hewitt 	0
more depressing than entertaining 	0
, albeit a visually compelling one , 	1
magical 	1
had gone in for pastel landscapes . 	1
's a fun adventure movie for kids ( of all ages ) that like adventure 	1
is found in its ability to spoof both black and white stereotypes equally 	1
ratliff 's two previous titles , plutonium circus and purgatory county show his penchant for wry , contentious configurations , and this film is part of that delicate canon 	1
, fun cheese puff 	1
distressing 	0
some movies suck you in despite their flaws , 	1
an old-fashioned drama of substance about a teacher 	1
otherwise comic 	1
, this is likely to cause massive cardiac arrest if taken in large doses . 	0
written by somebody else 	0
do n't even like their characters 	0
more offended by his lack of faith in his audience 	0
as simple self-reflection meditation 	1
a saga 	1
none of this is very original , and it is n't particularly funny . 	0
digital 	1
an enjoyable feel-good family comedy regardless of race . 	1
a determined , ennui-hobbled slog 	0
that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop 	1
sade achieves the near-impossible : it turns the marquis de sade into a dullard . 	0
phrase ` fatal script error 	0
for the ones that do n't come off 	1
lack a strong-minded viewpoint , or a sense of humor 	0
rewritten , and 	0
to entertain 	1
of renegade-cop tales 	1
is impressive for the sights and sounds of the wondrous beats the world has to offer 	1
proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast . 	0
leaving the theater with a smile on your face 	1
mushy 	0
an imponderably stilted and self-consciously arty movie . 	0
the darkest variety 	0
the most magical and most fun family fare of this or any recent holiday season 	1
have to give them credit for : the message of the movie 	1
abused 	0
the criminal world 	0
constantly touching , surprisingly funny , 	1
impudent 	0
it could have been something special , but two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorvino 's limitations as a classical actress . 	0
ham-fisted 	0
neatly constructed thriller 	1
, often incisive satire and unabashed sweetness 	1
that there are more interesting ways of dealing with the subject 	0
funny little film 	1
a sweet , laugh-a-minute crowd pleaser that lifts your spirits 	1
to find a place among the studio 's animated classics 	1
loosely connected characters and plots that never quite gel 	0
combined with indoctrinated prejudice 	0
make j.k. rowling 's marvelous series into a deadly bore 	0
sand 's masculine persona , with its love of life and beauty 	1
a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation . 	1
desperate attempt 	0
wallowing in hormonal melodrama 	0
in the end , the movie bogs down in insignificance , saying nothing about kennedy 's assassination and revealing nothing about the pathology it pretends to investigate . 	0
a cold blanket 	0
is repulsive and depressing 	0
a dysfunctional parent-child relationship 	0
whose pervasive quiet 	1
, green dragon is still a deeply moving effort to put a human face on the travail of thousands of vietnamese . 	1
a certain sexiness underlines even the dullest tangents . 	1
tunney , brimming with coltish , neurotic energy , holds the screen like a true star . 	1
emptiness and 	0
's nothing interesting in unfaithful whatsoever . 	0
is still quite good-natured and 	1
`` radical '' or `` suck '' 	0
the overall fabric is hypnotic , and mr. mattei fosters moments of spontaneous intimacy . 	1
is n't funny . 	0
, she is merely a charmless witch . 	0
the theme does n't drag an audience down 	1
this stuck pig of a movie flails limply between bizarre comedy and pallid horror . 	0
is suitably elegant 	1
clever angle 	1
crass , then gasp for gas , verbal deportment 	0
the most compelling performance 	1
with scenes so true and heartbreaking 	1
dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` the thing ' and a geriatric 	0
steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . 	1
has a rather unique approach to documentary 	1
like the english patient and the unbearable lightness of being 	1
who cares ? ) . 	0
zero-dimensional 	0
unconditional 	1
mr. scorsese 's bravery and integrity 	1
preposterous , prurient 	0
superficial and 	0
an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you 	0
a uniquely sensual metaphorical dramatization of sexual obsession 	1
all as very important 	1
the fierce grandeur of its sweeping battle scenes 	1
eclipses 	1
humorous and touching . 	1
iwai 's gorgeous visuals 	1
to view one of shakespeare 's better known tragedies as a dark comedy 	1
did no one on the set have a sense of humor , or did they not have the nerve to speak up ? 	0
pallid 	0
remarkable movie 	1
sucked dry the undead action flick formula 	0
a masterpiece -- and a challenging one 	1
delightful cast 	1
horrible . 	0
a tiny sense of hope 	1
is nicely performed by a quintet of actresses 	1
's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions 	0
his character awakens to the notion that to be human 	0
it is a kind , unapologetic , sweetheart of a movie 	1
ca n't support the epic treatment 	0
the pungent bite 	0
an experience that is richer than anticipated 	1
if it were any more of a turkey 	0
a weird , arresting little ride 	0
bad to be good 	0
will have found a cult favorite to enjoy for a lifetime 	1
inventive , consistently intelligent and sickeningly savage 	1
for something new 	1
lush , all-enveloping movie experience 	1
followed through on her defiance of the saccharine 	1
of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface 	1
could not stand them 	0
so distant you might as well be watching it through a telescope 	0
merely indulges in the worst elements of all of them . 	0
several cliched movie structures : the road movie 	0
tear their eyes away 	1
with indoctrinated prejudice 	0
casual and fun 	1
, solid , kinetically-charged spy flick worthy 	1
terrific to read about 	1
hmmm 	0
looks 	1
it 's also not smart or barbed enough for older viewers 	0
, it already has one strike against it . 	0
the top japanese animations 	1
the punch lines that miss , unfortunately , outnumber the hits by three-to-one . 	0
is left slightly unfulfilled 	0
`` austin powers in goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . 	1
the poor quality of pokemon 4 	0
further 	1
a gorgeously strange movie , heaven is deeply concerned with morality , but 	1
at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability 	0
, vaguely silly overkill 	0
sensuality and a conniving wit 	1
, but slow 	0
boffo last hour 	1
a dull , dumb and derivative horror film . 	0
a great shame that such a talented director as chen kaige 	0
daring and verve 	1
a tragic dimension and 	0
young everlyn sampi , as the courageous molly craig 	1
bright shining star 	1
elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naïf 's encounter with the world . 	0
crisp framing , edgy camera work , and 	1
has rewards 	1
or maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? '' 	0
resonance 	1
teeth-clenching 	1
dramatically satisfying 	1
dead-end 	0
a low-rent retread 	0
keep it from being a total rehash 	0
's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark . 	1
whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace 	0
with enthusiasm , sensuality and a conniving wit 	1
the film seems as deflated as he does 	0
... quite endearing . 	1
stands a good chance of being the big 	1
become annoying and artificial 	0
as splendid-looking as this particular film 	1
's no reason to miss interview with the assassin 	1
emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds 	1
engage 	1
flawed humanity 	1
it uses lighting effects and innovative backgrounds to an equally impressive degree 	1
a smart new comedy 	1
when the bullets start to fly , your first instinct is to duck 	1
is life affirming and heartbreaking , sweet without the decay factor , funny and sad . 	1
the very definition of what critics have come to term an `` ambitious failure 	0
's that rare family movie -- genuine and sweet 	1
rent those movies instead 	0
the first shocking thing about sorority boys is that it 's actually watchable . 	1
( a ) stale retread of the '53 original . 	0
if you appreciate the one-sided theme to lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest . 	0
disappointed 	0
has an unmistakable , easy joie de vivre . 	1
unified 	1
cheapening 	0
totally disorientated 	0
that kind of impact on me these days 	1
it is also beautifully acted . 	1
are far more alienating than involving . 	0
this dreck 	0
a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' 	0
right film 	1
of watching this film with an audience full of teenagers fixating on its body humor and reinforcement of stereotypes 	0
that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema 	0
sad but 	0
assumes you are n't very bright 	0
that stinks so badly of hard-sell image-mongering you 	0
, it 's not very good either . 	0
loses all 	0
the best of herzog 's works 	1
another gross-out college comedy -- ugh . 	0
character portrait , romantic comedy and beat-the-clock thriller 	1
invigorating , surreal , and resonant with a rainbow of emotion 	1
i liked the original short story but this movie , even at an hour and twenty-some minutes 	0
brainless 	0
creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries 	1
the best thing i can say about this film is that i ca n't wait to see what the director does next . 	1
other feel-good fiascos like antwone fisher or the emperor 's club any time 	1
a smart , funny look 	1
even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have . 	0
the movie bogs down in rhetoric and cliché . 	0
as solid and as perfect as his outstanding performance as bond in die 	1
's the element of condescension , 	0
's probably worth catching solely on its visual merits 	1
for the film 's winning tone 	1
is the kind of movie that gets a quick release before real contenders arrive in september . 	0
shameful 	0
try too hard to be mythic 	0
apart from reporting on the number of tumbleweeds blowing through the empty theaters 	0
falls short in showing us antonia 's true emotions 	0
's funny , touching , dramatically forceful , and beautifully shot 	1
allows the characters to inhabit their world without cleaving to a narrative arc 	1
eastwood is off his game 	0
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm . 	1
betters it 	1
drama . 	1
is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot . 	0
acts light on great scares and a good surprise ending 	1
rather choppy 	0
're looking for an intelligent movie in which you can release your pent up anger 	1
unbearably lame . 	0
watching your favorite pet get buried alive 	0
'd expect to see on showtime 's ` red shoe diaries 	1
stale and uninspired . 	0
a thoughtful movie 	1
of favor manages not only to find a compelling dramatic means of addressing a complex situation 	1
is even better than the fellowship . 	1
is tepid and tedious . 	0
it 's the worst movie i 've seen this summer 	0
is perfectly serviceable and because he gives the story some soul 	1
one of the year 's best films 	1
an american tragedy 	0
practically every facet of inept filmmaking 	0
has a good ear for dialogue , and the characters sound like real people 	1
i 'll stay with the stage versions , however , which bite cleaner , and deeper . 	0
than seeing an otherwise good movie marred beyond redemption by a disastrous ending 	0
to a picture-perfect beach 	1
pretends to expose the life of male hustlers 	0
pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love 	1
a great premise but only a great premise 	0
can not engage 	0
're just a couple of cops in copmovieland , these two 	0
a pleasant distraction , 	1
every effort to disguise it as an unimaginative screenwriter 's invention 	0
the reefs 	0
is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film . 	1
`` ... something appears to have been lost in the translation this time . 	0
so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or his predicament 	0
with major pleasures from portuguese master manoel de oliviera 	1
an adventurous young talent who finds his inspiration on the fringes of the american underground 	1
are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk 	1
soulful 	1
i 'm sure mainstream audiences will be baffled , 	0
in modern alienation 	0
the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year 	0
stand-up magic 	1
evolves 	1
a tapestry woven of romance , dancing , singing , and unforgettable characters 	1
the real star of this movie is the score , as in the songs translate well to film , and it 's really well directed 	1
acclaimed 1952 screen adaptation 	1
revenge , and romance 	1
is a career-defining revelation . 	1
is a lumbering , wheezy drag 	0
-- do n't worry 	1
the film never feels draggy 	1
david letterman and the onion 	1
it nonetheless sustains interest during the long build-up of expository material . 	1
of the worst of the entire franchise 	0
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . 	0
tick-tock pacing 	0
warped 	0
how low brow it is 	0
dumbed-down 	0
expands 	1
it has fun with the quirks of family life , 	1
honoring 	1
ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling . 	0
there are enough throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit . 	1
the most exciting action films 	1
to boring , self-important stories of how horrible we are to ourselves and each other 	0
aimless hodgepodge 	0
, they finally feel absolutely earned 	1
fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd . 	1
the tinny self-righteousness of his voice 	0
would go back and choose to skip it . 	0
its own rules regarding love and family , governance and hierarchy 	1
old-fashioned but emotionally stirring 	1
she may not be real , but the laughs are 	1
is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure 	1
suggests a superior moral tone is more important than filmmaking skill 	0
still eludes madonna and , playing a charmless witch 	0
the subtle direction of first-timer hilary birmingham 	1
enjoy this movie 	1
about the best thing you could say about narc is that it 's a rock-solid little genre picture . 	1
the movie is amateurish 	0
contrived pastiche of caper clichés . 	0
the conventional science-fiction elements of bug-eyed monsters 	0
is that it does n't make any sense 	0
tear your eyes away 	0
the movie would seem less of a trifle if ms. sugarman followed through on her defiance of the saccharine . 	0
shining with all the usual spielberg flair 	1
just two of the elements that will grab you 	1
its parade of almost perpetually wasted characters 	0
as a good old-fashioned adventure for kids , spirit : stallion of the cimarron is a winner . 	1
drowned out by director jon purdy 's sledgehammer sap 	0
, they ca n't go wrong . 	1
ver wiel 's 	1
the dubious distinction of being a really bad imitation of the really bad blair witch project 	0
solo 	1
this is one baaaaaaaaad movie . 	0
in imax in short , it 's just as wonderful on the big screen . 	1
campanella 's competent direction 	1
settles on a consistent tone . 	1
a potentially good comic premise and excellent cast are terribly wasted . 	0
want to slap it 	0
nuanced look 	1
far more stylish and 	1
is throwing up his hands in surrender , 	0
a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; 	1
is more engaging than the usual fantasies hollywood produces 	1
deeply biased , 	0
slow down 	0
a jarring , new-agey tone creeping into the second half 	0
serial murders 	1
amusing and unpredictable 	1
michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he 's got as potent a topic as ever here . 	1
see a better thriller this year 	0
has a key strength in its willingness to explore its principal characters with honesty , insight and humor . 	1
a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen 	1
sleek and arty . 	1
the pantheon of wreckage that includes battlefield earth and showgirls 	0
bad people 	0
angry and sad 	0
to be favorably compared to das boot 	1
the potential success 	1
has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky `` pretty woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought 	0
it 's never laugh-out-loud funny , but it is frequently amusing 	1
too many chefs fussing over too weak a recipe 	0
an admittedly middling film 	1
more confident 	1
transcend its genre with a curiously stylized , quasi-shakespearean portrait of pure misogynist evil 	1
the sequel 	1
how inept is serving sara ? 	0
the film becomes an overwhelming pleasure , and you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her 	1
starts out ballsy and stylish but fails to keep it up and settles into clichés . 	0
ranges from bad to bodacious 	0
shimmers with it 	1
a squirm-inducing fish-out-of-water formula 	0
there 's no real sense of suspense 	0
practices 	1
two dimension tale 	1
revealing nothing 	0
abandon 	0
in praise of love 	1
a film that will enthrall the whole family . 	1
take nothing seriously and enjoy the ride 	1
contemptuous of the single female population 	0
this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action . 	0
seems embarrassed by his own invention 	0
to alienate the mainstream audience while ringing cliched to hardened indie-heads 	0
if they looked at how this movie turned out 	0
, i love it ... hell , i dunno . 	1
set in newfoundland that cleverly captures the dry wit that 's so prevalent on the rock . 	1
doing battle 	1
more experimental 	1
into an abyss of clichés , depression and bad alternative music 	0
, the updated dickensian sensibility of writer craig bartlett 's story is appealing . 	1
still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival 	1
the beauty 	1
is as thought-provoking as it 	1
i last walked out on a movie 	0
the funniest and most accurate depiction 	1
its heart 	1
, it 's quite fun in places . 	1
you 'd have to be a most hard-hearted person not to be moved by this drama . 	1
as padded as allen 's jelly belly 	0
the charm of kevin kline and 	1
, poignant and leavened 	1
's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison 	0
both the beauty 	1
its exquisite acting , inventive screenplay 	1
for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life 	1
fails to spark this leaden comedy 	0
chronically mixed signals 	0
peppering the pages with memorable zingers 	1
is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans . 	1
are still unconcerned about what they ingest 	1
savvy director robert j. siegel and his co-writers 	1
prove diverting enough 	1
down a familiar road with a few twists 	0
lacks balance ... 	0
self-pitying 	0
does a disservice to the audience and to the genre . 	0
the worst of their shallow styles 	0
big splash 	1
be consigned to the dustbin of history 	0
one part romance novel , 	1
's an enjoyable trifle nonetheless 	1
the compelling historical tale 	1
the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects 	0
surprisingly well 	1
sumptuous 	1
, i found myself strangely moved by even the corniest and most hackneyed contrivances . 	1
's a sad , sick sight 	0
, more inadvertent ones and stunningly trite 	0
by a charm that 's conspicuously missing from the girls ' big-screen blowout 	0
snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this . 	0
is little more than home alone raised to a new , self-deprecating level 	0
few ` cool ' actors 	0
since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche . 	0
exploitative for the art houses and too cynical 	0
an awkward hybrid of genres that just does n't work 	0
a loathsome movie 	0
the early and middle passages are surprising in how much they engage and even touch us . 	1
, old-fashioned-movie movie 	1
some body will take you places you have n't been , and also places you have . 	1
one of those joyous films that leaps over national boundaries and celebrates universal human nature . 	1
a splendid job of racial profiling hollywood style -- casting excellent latin actors of all ages -- 	1
this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces . 	1
straining to produce another smash 	0
fear dot com is more frustrating than a modem that disconnects every 10 seconds . 	0
quite simply , a joy to watch and -- especially -- to listen to 	1
soderbergh 's best films , `` erin brockovich , 	1
humdrum 	0
quite fun in places 	1
emerging in world cinema 	1
from charismatic rising star jake gyllenhaal but also 	1
is an interesting character 	1
straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . 	0
the best short story writing 	1
really what we demand of the director 	1
encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity 	1
the one-liners are snappy , the situations volatile and the comic opportunities richly rewarded 	1
is pure , exciting moviemaking 	1
bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni 	0
emotionally devastating 	0
is muted 	0
much of a mixed bag , with enough negatives 	0
this mess of a movie 	0
that makes all the difference . 	1
leave us with a sense of wonder 	1
best case 	1
spider-man 	1
repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue 	0
each one of these people stand out and 	1
the storytelling instincts of a slightly more literate filmgoing audience 	1
of jason x 	0
being insightful 	1
dramatically moving 	1
recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal 	1
of motherhood and desperate mothers 	0
be going through the motions , beginning with the pale script 	0
having a real writer plot 	1
but a very handsomely produced let-down 	0
answered yes , by all means 	1
if you 're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film . 	1
scenic shots 	1
media-soaked 	0
the small moments 	1
it 's trying to set the women 's liberation movement back 20 years 	0
the upper echelons 	1
the woodman seems to have directly influenced this girl-meets-girl love story , 	1
whatever 	0
first film something of a sleeper success 	1
well done 	1
disdain 	0
accomplish what few sequels can 	1
weird 	0
releasing a film with the word ` dog ' in its title in january lends itself to easy jokes and insults , and snow dogs deserves every single one of them 	0
rowdy slapstick 	1
, plodding picture 	0
fairly weak 	0
mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . 	0
, signs is a tribute to shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project . 	1
meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen 	0
, and intelligence 	1
that even freeman ca n't save it 	0
that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality 	1
make this worth a peek 	1
uncouth , incomprehensible , vicious and absurd 	0
one terrific score and 	1
a modestly made but profoundly moving documentary 	1
sparse 	0
never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance . 	0
is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 	0
the real issues 	1
too bland and fustily tasteful to be truly prurient . 	0
lies ... 	0
leaden as the movie sputters to its inevitable tragic conclusion 	0
liked 	1
, overnight , is robbed and replaced with a persecuted `` other 	0
a cutting hollywood satire 	1
pacino is the best he 's been in years 	1
hollow , self-indulgent 	0
is talented enough and charismatic enough to make us care about zelda 's ultimate fate . 	1
would do better elsewhere . 	0
well paced and satisfying 	1
colorful look 	1
spy kids 2 also happens to be that rarity among sequels 	1
brought down 	0
because this movie makes his own look much better by comparison 	0
striking 	1
the characters are paper thin 	0
, slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up . 	1
gutter 	0
to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters 	0
a spooky yarn of demonic doings on the high seas that works better the less the brain is engaged . 	0
devoid of joy and energy 	0
proud 	1
not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . 	0
suitably kooky which should appeal to women and 	1
a thirteen-year-old 's book report 	1
upstaged by an avalanche of more appealing holiday-season product 	1
it fascinating 	1
inexpressive 	0
seeks to transcend its genre with a curiously stylized , quasi-shakespearean portrait of pure misogynist evil . 	1
unlike lots of hollywood fluff 	1
is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian . 	0
many tense scenes in trapped 	1
argues 	0
a game of ` who 's who ' ... where the characters ' moves are often more predictable than their consequences 	0
its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes 	1
a crowd-pleaser , but then 	1
and two smoking barrels 	0
its true-to-life characters , its sensitive acting , 	1
nothing wrong with performances here , but the whiney characters bugged me 	0
of its gaudy hawaiian shirt 	0
supremely good natured 	1
guessable from the first few minutes 	0
disagreeable 	0
very different from our own and yet instantly recognizable 	1
has ever suspected hollywood of being overrun by corrupt and hedonistic weasels 	0
offers much to absorb and even more to think about after the final frame . 	1
worst titles 	0
should make it required viewing in university computer science departments for years to come 	1
about identity and alienation 	0
awful 	0
the ideas tie together beautifully 	1
as glum as mr. de niro 	0
some flashy twists 	1
pokémon 4ever 	1
due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a teleprompter . 	0
trouble every day is a success in some sense 	1
and there 's the inimitable diaz , holding it all together . 	1
a marginal thumbs up 	1
much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice . 	1
lazy exercise 	0
, caring 	1
sublime music 	1
